theme_b_make_form.__id,dependencyDevStep.__id,theme_b_make_form.tread_width,theme_b_make_form.carcass_length
成形.ID,前工程.ID,成形.トレッド幅,成形.カーカス長
text,text,number,number
3277d707-df85-4444-b3ef-10b988e005a6,2ed6f86e-9e23-4baa-ae57-33ef1817e160,225,450
82a44f81-0f9e-43ed-8b42-3b774a5a3124,e51ee3f1-2ef9-4685-9bb1-717dedecd32a,225,450
b51ad19f-34dd-4e2d-971e-31494e5b0b7f,7ffb28c8-ad14-42f2-938b-c83bc2c2eae9,225,450
193a304b-2e7b-4b01-8bb2-6aff8ff7df5f,f56206b8-1766-4d3e-85f9-3eea07661c45,225,450
0542caed-ebe0-47c2-8a9e-ec9dc137853c,66c2148c-df73-4896-b4b0-5e83aedb3f7a,225,450
229d1635-2af7-4bab-9c14-c610a7cc9aaf,2ed6f86e-9e23-4baa-ae57-33ef1817e160,230,450
5a1e704e-c53e-4b91-b7f4-74782f9bf153,e51ee3f1-2ef9-4685-9bb1-717dedecd32a,230,450
d9a8b647-4591-46f5-a6d5-a8d10b74c81b,7ffb28c8-ad14-42f2-938b-c83bc2c2eae9,230,450
39109815-1f26-41d3-ad70-50201cc2c674,f56206b8-1766-4d3e-85f9-3eea07661c45,230,450
1dd85480-95d5-4383-b998-0709e6eaf020,66c2148c-df73-4896-b4b0-5e83aedb3f7a,230,450