theme_b_recipe_material_amounts.__id,theme_b_recipe_material_amounts.__sub_recipe_id,theme_b_recipe_material_amounts.__master_name,theme_b_recipe_material_amounts.__master_id,theme_b_recipe_material_amounts.amount
レシピ.ID,レシピ.サブレシピID,レシピ.材料マスタ,レシピ.材料マスタID,レシピ.分量
text,text,text,text,text
137bb1d9-4132-4044-9e30-1463f5967079,b12cd3a9-2b87-4aea-964a-4e64f4bdf0cc,theme_b_rubber,aa610527-eb34-4430-bbc0-fb1bbfb3f27d,100
e770e3ca-6721-4b13-af09-7fc991c99110,b12cd3a9-2b87-4aea-964a-4e64f4bdf0cc,theme_b_carbon_black,c9b28d45-c80c-4bdc-b8d2-ad75fb67c403,50
f0a33669-3b15-41e4-9783-9294c33fdd1f,45c3aafd-d8ed-418f-8ac4-60a6bacc4e06,theme_b_rubber,aa610527-eb34-4430-bbc0-fb1bbfb3f27d,80
be83a8c0-5999-4362-b8de-828ab10491d6,45c3aafd-d8ed-418f-8ac4-60a6bacc4e06,theme_b_carbon_black,c9b28d45-c80c-4bdc-b8d2-ad75fb67c403,70
3113a3ab-8c50-416f-9131-bbbc5feb3887,07c6f1a1-2032-40dc-9f3e-b8102915a981,theme_b_rubber,aa610527-eb34-4430-bbc0-fb1bbfb3f27d,70
67ea7357-874d-4d5f-af35-d3311773ae68,07c6f1a1-2032-40dc-9f3e-b8102915a981,theme_b_carbon_black,c9b28d45-c80c-4bdc-b8d2-ad75fb67c403,40
62551a2c-c73d-411f-8b47-cfd559cff1c5,07c6f1a1-2032-40dc-9f3e-b8102915a981,theme_b_carbon_black,1be837e0-a159-4e95-9cfb-f06ada79e8cc,40
7846d7de-588d-4f6b-8aa5-9c4e14fe36d7,f0c69b4b-235b-446b-ba8d-13a210cfd19d,theme_b_rubber,aa610527-eb34-4430-bbc0-fb1bbfb3f27d,50
9f2f5325-8702-4f28-8c6a-aadabd35c6b5,f0c69b4b-235b-446b-ba8d-13a210cfd19d,theme_b_carbon_black,c9b28d45-c80c-4bdc-b8d2-ad75fb67c403,20
94521e16-662b-492f-bae3-d4ca0280a471,f0c69b4b-235b-446b-ba8d-13a210cfd19d,theme_b_carbon_black,1be837e0-a159-4e95-9cfb-f06ada79e8cc,30
3f8d58c5-3b99-48b6-90f3-f3189d90da98,f0c69b4b-235b-446b-ba8d-13a210cfd19d,theme_b_rubber,df2225e3-67d4-4670-9dcb-5bfd0e42bc7b,50
51e1fd6b-20ff-4413-857e-1af5eb0fe1e8,f5047c36-d953-459f-b681-464fd43b2c1d,theme_b_carbon_black,c9b28d45-c80c-4bdc-b8d2-ad75fb67c403,50
a0defa20-c751-4510-b879-99343c9a8d98,f5047c36-d953-459f-b681-464fd43b2c1d,theme_b_rubber,df2225e3-67d4-4670-9dcb-5bfd0e42bc7b,100
72ae2e2f-3b3f-4138-b0b9-6524daed796f,71cf5a34-ecf5-4481-828d-ab48b00ec23d,theme_b_rubber,df2225e3-67d4-4670-9dcb-5bfd0e42bc7b,30
6acef913-c0b8-4872-8a5f-8f8bdb0d05d3,71cf5a34-ecf5-4481-828d-ab48b00ec23d,theme_b_carbon_black,b29bd7a2-a6d5-4c0a-b0a0-24c6e878d681,10
0d0d1771-d0b8-47ac-989e-87ffa52147fa,09687ba8-6c96-4d74-a83d-bd875bbc73d5,theme_b_rubber,df2225e3-67d4-4670-9dcb-5bfd0e42bc7b,30
41a65d10-350f-4b28-ad50-48357e691db7,09687ba8-6c96-4d74-a83d-bd875bbc73d5,theme_b_carbon_black,1c9acec0-fe04-4c11-960e-ef1c50edb503,10
6d4a71bb-52d7-4c6e-bec7-d92bf071bfc1,ca89ec11-ef1f-4141-8826-9fef6ab8739d,theme_b_rubber,df2225e3-67d4-4670-9dcb-5bfd0e42bc7b,20
671affa3-666f-4dd0-a24e-c8bd607710fb,ca89ec11-ef1f-4141-8826-9fef6ab8739d,theme_b_carbon_black,1c9acec0-fe04-4c11-960e-ef1c50edb503,15